epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0804,2.03392,4.11498,2.33232,0.54588,0.10305,0.07587,0.03505,2.68093,5.30597,3.63287,0.06931,0.00031,0.00031
2,33.7196,1.83088,2.98684,2.14297,0.2476,0.27351,0.16152,0.05668,2.56249,4.47279,3.45754,0.0376175,0.000617526,0.000617526
3,48.4589,1.82762,2.84273,2.14324,0.31132,0.27657,0.156,0.05515,2.52764,6.32961,3.43551,0.00591238,0.00091238,0.00091238
4,63.2726,1.76902,2.69078,2.12517,0.17085,0.31355,0.13131,0.04678,2.84206,6.95028,3.64059,0.0009406,0.0009406,0.0009406
5,77.8401,1.75348,2.6264,2.10981,0.28971,0.27118,0.16105,0.05888,2.55877,3.74377,3.34118,0.0009208,0.0009208,0.0009208
6,92.4361,1.67055,2.51875,2.04315,0.27831,0.27709,0.19092,0.07962,2.37458,3.45533,3.18933,0.000901,0.000901,0.000901
7,107.078,1.64219,2.46809,2.01697,0.38469,0.39064,0.3285,0.13429,2.22414,2.62662,2.97253,0.0008812,0.0008812,0.0008812
8,121.795,1.6167,2.35705,1.98196,0.41228,0.36727,0.3394,0.14445,2.20636,2.67607,3.01465,0.0008614,0.0008614,0.0008614
9,136.341,1.60508,2.34277,1.98407,0.36888,0.4148,0.32765,0.1414,2.19476,2.69639,2.88116,0.0008416,0.0008416,0.0008416
10,150.916,1.5653,2.24446,1.9524,0.4231,0.42455,0.38731,0.17317,2.06877,2.48305,2.75416,0.0008218,0.0008218,0.0008218
11,165.459,1.51764,2.22139,1.93902,0.38797,0.41978,0.37545,0.1684,2.14275,2.52631,2.811,0.000802,0.000802,0.000802
12,179.953,1.50903,2.10542,1.90005,0.56793,0.47529,0.4985,0.23683,2.02706,1.94585,2.76792,0.0007822,0.0007822,0.0007822
13,194.788,1.43111,2.04301,1.85343,0.56543,0.49029,0.49517,0.23708,2.03025,1.96266,2.71349,0.0007624,0.0007624,0.0007624
14,209.467,1.43829,2.01818,1.86517,0.53267,0.50898,0.49695,0.23863,1.985,1.86645,2.64175,0.0007426,0.0007426,0.0007426
15,223.928,1.40119,1.95036,1.81672,0.53457,0.50466,0.52009,0.24532,1.95195,1.94559,2.6639,0.0007228,0.0007228,0.0007228
16,238.665,1.37751,1.89916,1.80588,0.56965,0.5432,0.58563,0.28968,1.88499,1.8025,2.63644,0.000703,0.000703,0.000703
17,253.336,1.33465,1.90767,1.78741,0.56708,0.53572,0.56852,0.28367,1.87263,1.71892,2.62254,0.0006832,0.0006832,0.0006832
18,267.685,1.34355,1.85021,1.77145,0.59451,0.59033,0.61878,0.3209,1.80321,1.59191,2.50301,0.0006634,0.0006634,0.0006634
19,282.085,1.29893,1.76991,1.74821,0.61675,0.57942,0.60969,0.32931,1.79967,1.54704,2.55021,0.0006436,0.0006436,0.0006436
20,296.652,1.30178,1.76685,1.76416,0.62483,0.62697,0.65286,0.34559,1.7455,1.52325,2.4921,0.0006238,0.0006238,0.0006238
21,311.14,1.27002,1.64936,1.72222,0.71825,0.61541,0.67822,0.37265,1.70256,1.47933,2.4757,0.000604,0.000604,0.000604
22,325.595,1.22189,1.62491,1.69016,0.64496,0.64798,0.67286,0.36246,1.72984,1.41517,2.43489,0.0005842,0.0005842,0.0005842
23,339.955,1.20735,1.62652,1.68087,0.73966,0.61301,0.69363,0.37032,1.71476,1.39379,2.40944,0.0005644,0.0005644,0.0005644
24,354.295,1.21471,1.57507,1.67735,0.69343,0.68784,0.72633,0.39679,1.64354,1.35975,2.39724,0.0005446,0.0005446,0.0005446
25,368.571,1.18478,1.51886,1.635,0.77092,0.69678,0.76536,0.43745,1.593,1.26615,2.34059,0.0005248,0.0005248,0.0005248
26,382.891,1.16454,1.52752,1.63396,0.72461,0.73516,0.7565,0.41146,1.62703,1.24592,2.45483,0.000505,0.000505,0.000505
27,397.354,1.15559,1.48144,1.63624,0.75005,0.7289,0.77219,0.44311,1.58237,1.21419,2.43087,0.0004852,0.0004852,0.0004852
28,411.845,1.08515,1.37656,1.56589,0.79799,0.69725,0.75636,0.43721,1.56937,1.20872,2.43533,0.0004654,0.0004654,0.0004654
29,426.271,1.08168,1.36121,1.58535,0.82012,0.72916,0.80757,0.46579,1.5282,1.09433,2.33942,0.0004456,0.0004456,0.0004456
30,440.711,1.09363,1.37924,1.58302,0.82296,0.74015,0.79306,0.47603,1.5329,1.11216,2.31301,0.0004258,0.0004258,0.0004258
31,455.511,1.07239,1.33608,1.55791,0.80139,0.74653,0.80471,0.47426,1.57063,1.114,2.43399,0.000406,0.000406,0.000406
32,470.442,1.04594,1.29551,1.5449,0.83817,0.77105,0.823,0.49355,1.45725,1.0371,2.27571,0.0003862,0.0003862,0.0003862
33,484.816,1.02002,1.25188,1.51344,0.85324,0.7399,0.82065,0.49465,1.45988,1.0321,2.27245,0.0003664,0.0003664,0.0003664
34,499.122,1.02811,1.23132,1.49762,0.86016,0.74055,0.82758,0.50376,1.4485,0.98207,2.24909,0.0003466,0.0003466,0.0003466
35,513.448,0.97275,1.16953,1.47465,0.85493,0.78521,0.83915,0.52391,1.43173,0.9503,2.2636,0.0003268,0.0003268,0.0003268
36,527.789,0.97603,1.18823,1.48182,0.87184,0.78988,0.84216,0.53285,1.38571,0.93988,2.23711,0.000307,0.000307,0.000307
37,542.112,0.95048,1.1707,1.45602,0.86614,0.80329,0.8472,0.53349,1.35783,0.90618,2.17852,0.0002872,0.0002872,0.0002872
38,556.477,0.92498,1.10055,1.43502,0.86991,0.82328,0.85636,0.54555,1.33732,0.87466,2.17901,0.0002674,0.0002674,0.0002674
39,571.07,0.92539,1.12196,1.44513,0.86436,0.82749,0.85331,0.52921,1.38966,0.91193,2.25446,0.0002476,0.0002476,0.0002476
40,585.672,0.8974,1.06242,1.41964,0.8732,0.83246,0.86531,0.54547,1.35307,0.87757,2.22994,0.0002278,0.0002278,0.0002278
41,601.861,0.81395,0.99449,1.3956,0.90537,0.81465,0.86781,0.542,1.36264,0.86942,2.30664,0.000208,0.000208,0.000208
42,616.451,0.74507,0.86193,1.34033,0.88905,0.80272,0.85677,0.5305,1.42174,0.87493,2.36504,0.0001882,0.0001882,0.0001882
43,631.041,0.72194,0.81219,1.32825,0.90555,0.84281,0.88248,0.55984,1.3195,0.83772,2.29477,0.0001684,0.0001684,0.0001684
44,645.39,0.70953,0.79674,1.32258,0.89372,0.85981,0.87692,0.55303,1.33165,0.82854,2.31287,0.0001486,0.0001486,0.0001486
45,659.718,0.681,0.73433,1.28331,0.90979,0.86772,0.88764,0.5683,1.29387,0.79094,2.29479,0.0001288,0.0001288,0.0001288
46,674.201,0.64088,0.71506,1.25544,0.91196,0.84546,0.88404,0.57444,1.28144,0.76743,2.29632,0.000109,0.000109,0.000109
47,688.525,0.64215,0.69902,1.24889,0.90699,0.85743,0.88022,0.57324,1.26304,0.76385,2.28975,8.92e-05,8.92e-05,8.92e-05
48,703.005,0.62477,0.69632,1.25098,0.89423,0.85547,0.88127,0.57043,1.26313,0.7621,2.28957,6.94e-05,6.94e-05,6.94e-05
49,717.59,0.61706,0.66816,1.22915,0.90451,0.86712,0.89191,0.57473,1.27032,0.75397,2.30938,4.96e-05,4.96e-05,4.96e-05
50,731.731,0.59638,0.64105,1.20055,0.9233,0.86163,0.88861,0.57862,1.26206,0.74388,2.31195,2.98e-05,2.98e-05,2.98e-05
